"","hcode","DDlatJitter","DDlongJitter","disltyr","buycow","cotton","trans1yr","drkmix","buffevr","Div","Ccode","cluster","vc.herds","weight.h","entries"
"1",7,6.862730026,13.15970039,1,0,1,0,1,0,"VINA","VMR",4,30,10,3
"2",8,6.812419891,13.22560024,0,1,1,0,1,0,"VINA","VMR",4,30,10,3
"3",9,7.09473671,13.89369171,1,0,0,1,1,1,"VINA","VDI",2,212,35.33333333,6
"4",10,7.319419861,14.07229996,1,1,0,0,1,0,"VINA","VTL",5,242,80.66666667,3
"5",11,7.182739327,14.11457309,1,0,1,0,1,0,"VINA","VTL",5,242,80.66666667,3
"6",12,7.202664448,14.11457309,1,0,1,0,1,0,"VINA","VTL",5,242,80.66666667,3
"7",13,6.476399899,11.23910046,0,1,0,0,1,1,"MAYO_BANYO","BAA",6,51,17,3
"8",22,6.550116742,11.44168524,1,0,0,1,1,1,"MAYO_BANYO","BRO",9,83,27.66666667,3
"9",24,6.91707105,11.73675939,0,1,0,0,1,0,"MAYO_BANYO","BGA",12,166,23.71428571,7
"10",25,6.963570118,11.70470047,1,0,1,0,1,1,"MAYO_BANYO","BGA",10,166,23.71428571,7
"11",26,6.971865132,11.81483508,1,1,0,0,1,0,"MAYO_BANYO","BGA",10,166,23.71428571,7
"12",27,6.972229958,11.79030037,0,0,0,1,1,0,"MAYO_BANYO","BGA",11,166,23.71428571,7
"13",28,6.91707105,11.69883691,0,1,0,1,1,0,"MAYO_BANYO","BGA",12,166,23.71428571,7
"14",29,6.900466783,11.72114425,0,1,0,0,1,0,"MAYO_BANYO","BGA",11,166,23.71428571,7
"15",30,6.93201489,11.71891352,0,1,0,0,1,0,"MAYO_BANYO","BGA",11,166,23.71428571,7
"16",1,7.221350193,13.68369961,1,1,1,0,1,0,"VINA","VDI",1,212,35.33333333,6
"17",2,7.13988018,13.72679996,1,0,1,0,1,0,"VINA","VDI",2,212,35.33333333,6
"18",3,7.101329803,13.84689999,1,1,1,1,1,0,"VINA","VDI",1,212,35.33333333,6
"19",14,6.455472418,11.23865285,0,0,0,0,0,0,"MAYO_BANYO","BAA",6,51,17,3
"20",15,6.457369804,11.32919979,1,1,0,1,1,1,"MAYO_BANYO","BAA",6,51,17,3
"21",16,6.454199791,11.56529999,1,1,0,1,1,1,"MAYO_BANYO","BMD",7,372,62,6
"22",4,7.074811589,13.9139559,1,1,1,0,1,0,"VINA","VDI",2,212,35.33333333,6
"23",5,7.073151163,13.88030496,1,1,0,0,1,0,"VINA","VDI",1,212,35.33333333,6
"24",6,7.112750053,14.11499977,0,0,1,0,1,0,"VINA","VWM",3,176,58.66666667,3
"25",17,6.492619991,11.55270004,1,1,0,1,1,1,"MAYO_BANYO","BMD",7,372,62,6
"26",18,6.422820091,11.57540035,1,0,0,1,1,1,"MAYO_BANYO","BMD",8,372,62,6
"27",19,6.384200096,11.60599995,0,0,0,1,1,0,"MAYO_BANYO","BMD",8,372,62,6
"28",20,6.364148948,11.60901962,1,1,0,1,1,0,"MAYO_BANYO","BMD",8,372,62,6
"29",21,6.569900036,11.68109989,1,1,0,1,1,0,"MAYO_BANYO","BMD",7,372,62,6
"30",64,7.401420116,13.02200031,1,0,0,0,1,0,"FARO_ET_DEO","FKE",20,263,43.83333333,6
"31",65,7.369170189,12.9907999,1,1,1,1,1,1,"FARO_ET_DEO","FKE",21,263,43.83333333,6
"32",66,7.386750221,12.97340012,0,1,0,1,1,1,"FARO_ET_DEO","FKE",21,263,43.83333333,6
"33",67,7.449669838,12.9052,1,1,1,0,1,0,"FARO_ET_DEO","FKE",20,263,43.83333333,6
"34",68,7.403369904,12.90839958,1,1,0,1,1,1,"FARO_ET_DEO","FKE",21,263,43.83333333,6
"35",69,7.396934375,12.88299204,0,1,0,1,0,0,"FARO_ET_DEO","FKE",20,263,43.83333333,6
"36",70,7.253719807,12.21539974,0,1,0,1,1,1,"FARO_ET_DEO","FWU",17,235,78.33333333,3
"37",71,7.200049877,12.1782999,1,0,0,0,1,0,"FARO_ET_DEO","FWU",17,235,78.33333333,3
"38",31,6.959420204,13.25129986,1,1,0,0,1,0,"VINA","VMR",4,30,10,3
"39",32,6.537280083,11.76739979,0,0,0,1,1,1,"MAYO_BANYO","BAT",13,137,45.66666667,3
"40",40,6.825799942,11.73729992,0,1,0,0,1,0,"MAYO_BANYO","BBO",15,260,86.66666667,3
"41",41,6.846020222,11.84119987,0,1,0,0,1,0,"MAYO_BANYO","BBO",15,260,86.66666667,3
"42",43,6.814080238,12.05840015,0,0,0,1,0,1,"MAYO_BANYO","BMM",16,176,176,1
"43",48,7.006680012,14.96420002,0,0,0,1,1,1,"MBERE","MYG",23,132,66,2
"44",49,6.747970104,14.93190002,1,1,1,1,1,1,"MBERE","MNI",24,288,96,3
"45",50,6.736084536,14.95570874,1,0,0,1,1,1,"MBERE","MNI",24,288,96,3
"46",51,6.855635261,14.94455163,0,0,0,0,1,0,"MBERE","MNI",24,288,96,3
"47",52,6.857295688,14.97355461,1,1,0,1,1,1,"MBERE","MYG",23,132,66,2
"48",53,6.729442829,14.62556009,1,1,0,0,1,0,"MBERE","MFA",26,134,26.8,5
"49",54,6.74936795,14.60765174,1,1,0,1,0,0,"MBERE","MFA",25,134,26.8,5
"50",55,6.727782402,14.59432981,1,1,1,1,1,1,"MBERE","MFA",25,134,26.8,5
"51",56,6.523580074,14.60879993,1,0,0,0,1,0,"MBERE","MFA",25,134,26.8,5
"52",57,6.584030151,14.56379986,0,1,0,0,1,0,"MBERE","MFA",26,134,26.8,5
"53",33,6.587830067,11.77439976,0,0,0,1,0,1,"MAYO_BANYO","BAT",13,137,45.66666667,3
"54",34,6.558418876,11.41268061,1,1,0,1,1,1,"MAYO_BANYO","BRO",9,83,27.66666667,3
"55",35,6.573362716,11.44837861,1,1,0,1,1,1,"MAYO_BANYO","BRO",9,83,27.66666667,3
"56",36,6.653130054,11.69789982,0,1,0,0,0,0,"MAYO_BANYO","BAT",13,137,45.66666667,3
"57",37,7.101378417,11.96599963,1,1,0,1,1,1,"MAYO_BANYO","BSO",14,157,78.5,2
"58",38,7.087470055,11.98130035,0,0,0,1,1,0,"MAYO_BANYO","BSO",14,157,78.5,2
"59",39,6.809143312,11.73452865,1,0,0,1,0,0,"MAYO_BANYO","BBO",15,260,86.66666667,3
"60",58,6.433886871,14.73482587,0,1,0,0,1,0,"MBERE","MKL",27,167,55.66666667,3
"61",59,6.422263884,14.75267487,0,1,1,0,0,0,"MBERE","MKL",27,167,55.66666667,3
"62",75,7.019879818,13.45020008,1,0,0,0,0,0,"VINA","VMM",29,55,18.33333333,3
"63",76,6.991790253,13.46977794,0,0,0,1,1,0,"VINA","VMM",29,55,18.33333333,3
"64",45,7.095449924,14.06190014,0,0,0,1,1,0,"VINA","VWM",3,176,58.66666667,3
"65",46,7.036369801,14.06630039,1,0,1,1,1,1,"VINA","VWM",3,176,58.66666667,3
"66",47,7.278379917,12.31939983,1,1,0,1,1,1,"FARO_ET_DEO","FWU",17,235,78.33333333,3
"67",60,6.490620136,14.67399979,0,0,1,0,1,0,"MBERE","MKL",27,167,55.66666667,3
"68",61,6.760129929,14.47309971,0,1,0,0,1,0,"MBERE","MGI",28,71,23.66666667,3
"69",134,7.363725841,13.95857058,1,0,0,1,1,1,"VINA","VGH",49,103,17.16666667,6
"70",135,6.826280117,13.97319984,0,0,0,1,1,1,"VINA","VNA",44,222,74,3
"71",136,6.325959133,13.53224945,0,0,1,0,1,0,"MBERE","MDR",51,72,36,2
"72",137,6.340902974,13.53894282,0,0,0,0,1,0,"MBERE","MDR",51,72,36,2
"73",138,6.17234993,14.38070011,0,0,0,0,0,0,"MBERE","MBA",36,195,65,3
"74",139,7.343800068,13.11600018,1,1,1,0,1,0,"VINA","VBM",47,240,40,6
"75",140,7.322215172,13.1194913,1,1,1,0,1,0,"VINA","VBM",46,240,40,6
"76",141,7.557529926,13.67380047,1,1,0,0,0,0,"VINA","VMB",48,159,53,3
"77",142,7.537950039,13.45979977,1,1,1,0,1,1,"VINA","VMU",54,106,17.66666667,6
"78",79,7.161880016,12.57699966,1,0,0,1,1,1,"FARO_ET_DEO","FGL",19,219,73,3
"79",80,7.110330105,12.56429958,1,1,0,1,1,0,"FARO_ET_DEO","FGL",19,219,73,3
"80",73,7.056546895,12.65805258,1,1,0,1,1,0,"FARO_ET_DEO","FDL",18,168,56,3
"81",102,6.617879868,12.99650002,0,1,0,0,0,0,"DJEREM","DNT",34,259,51.8,5
"82",103,7.415420055,13.51200008,0,1,1,0,1,0,"VINA","VNG",30,99,33,3
"83",104,7.453879833,13.44470024,1,1,1,0,1,0,"VINA","VNG",30,99,33,3
"84",105,6.279467185,12.78928479,0,1,0,1,1,1,"DJEREM","DTI",38,153,30.6,5
"85",106,6.269504625,12.77589804,1,1,0,0,1,1,"DJEREM","DTI",38,153,30.6,5
"86",107,6.284448465,12.76474241,0,0,0,1,0,1,"DJEREM","DTI",39,153,30.6,5
